position_id,level_name,rank_name,job_level_name,employee_status_name
POS_coordinator_coordinator_non_managerial_permanent,Coordinator,Coordinator,Non-Managerial,Permanent
POS_coordinator_jr__coordinator_non_managerial_contract,Coordinator,Jr. Coordinator,Non-Managerial,Contract
POS_coordinator_jr__coordinator_non_managerial_permanent,Coordinator,Jr. Coordinator,Non-Managerial,Permanent
POS_coordinator_sr__coordinator_non_managerial_permanent,Coordinator,Sr. Coordinator,Non-Managerial,Permanent
POS_manager_manager_managerial_permanent,Manager,Manager,Managerial,Permanent
POS_manager_sr__supervisor_managerial_permanent,Manager,Sr. Supervisor,Managerial,Permanent
POS_non_staff_non_staff_contract_non_staff_contract,Non Staff,Non Staff Contract,Non-Staff,Contract
POS_non_staff_non_staff_contract_non_staff_permanent,Non Staff,Non Staff Contract,Non-Staff,Permanent
POS_non_staff_non_staff_permanent_non_staff_permanent,Non Staff,Non Staff Permanent,Non-Staff,Permanent
POS_staff_sr__staff_non_managerial_permanent,Staff,Sr. Staff,Non-Managerial,Permanent
POS_staff_staff_non_managerial_permanent,Staff,Staff,Non-Managerial,Permanent
POS_staff_staff_contract_non_managerial_contract,Staff,Staff Contract,Non-Managerial,Contract
POS_staff_staff_contract_non_managerial_permanent,Staff,Staff Contract,Non-Managerial,Permanent
POS_staff_staff_permanent_non_managerial_permanent,Staff,Staff Permanent,Non-Managerial,Permanent
POS_supervisor_jr__supervisor_non_managerial_permanent,Supervisor,Jr. Supervisor,Non-Managerial,Permanent
POS_supervisor_sr__supervisor_non_managerial_permanent,Supervisor,Sr. Supervisor,Non-Managerial,Permanent
POS_supervisor_supervisor_non_managerial_permanent,Supervisor,Supervisor,Non-Managerial,Permanent
