section_id,department_id,section_name
SEC_bi___marketing_business_innovation___marketing,DEPT_bi___marketing,Business Innovation & Marketing
SEC_bi___marketing_database___innovation,DEPT_bi___marketing,Database & Innovation
SEC_bi___marketing_finance_business_partner,DEPT_bi___marketing,Finance Business Partner
SEC_bi___marketing_information_technology,DEPT_bi___marketing,Information Technology
SEC_bi___marketing_marketing___corporate_comm,DEPT_bi___marketing,Marketing & Corporate Comm
SEC_bi___marketing_office_strategic_management,DEPT_bi___marketing,Office Strategic Management
SEC_ci___audit_business_process_improvement___ia_reps,DEPT_ci___audit,Business Process Improvement & IA Reps.
SEC_ci___audit_quality_management,DEPT_ci___audit,Quality Management
SEC_central_services_central_services,DEPT_central_services,Central Services
SEC_central_services_corporate_wellness_specialist,DEPT_central_services,Corporate Wellness Specialist
SEC_central_services_product_accessories,DEPT_central_services,Product Accessories
SEC_central_services_repair___retread_operation,DEPT_central_services,Repair / Retread Operation
SEC_central_services_service_operation_mvc,DEPT_central_services,Service Operation MVC
SEC_central_services_service_operation_others,DEPT_central_services,Service Operation Others
SEC_central_services_technical_operation,DEPT_central_services,Technical Operation
SEC_central_services_training_center,DEPT_central_services,Training Center
SEC_finance___accounting_finance___accounting,DEPT_finance___accounting,Finance & Accounting
SEC_finance___accounting_finance_support___external_relation,DEPT_finance___accounting,Finance Support & External Relation
SEC_human_capital_hr_ga,DEPT_human_capital,HR-GA
SEC_human_capital_hse,DEPT_human_capital,HSE
SEC_human_capital_human_capital,DEPT_human_capital,Human Capital
SEC_human_capital_sales_kalimantan,DEPT_human_capital,Sales Kalimantan
SEC_human_capital_training_center,DEPT_human_capital,Training Center
SEC_legal___erm_legal___erm__insurance,DEPT_legal___erm,Legal & ERM (Insurance)
SEC_management_management,DEPT_management,Management
SEC_sales_operation_major_account,DEPT_sales_operation,Major Account
SEC_sales_operation_national_sales,DEPT_sales_operation,National Sales
SEC_sales_operation_sales_east_indonesia,DEPT_sales_operation,Sales East Indonesia
SEC_sales_operation_sales_kalimantan,DEPT_sales_operation,Sales Kalimantan
SEC_sales_operation_technical_operation,DEPT_sales_operation,Technical Operation
SEC_supply_chain_dept_biling,DEPT_supply_chain_dept,Biling
SEC_supply_chain_dept_billing,DEPT_supply_chain_dept,Billing
SEC_supply_chain_dept_exim___compliance,DEPT_supply_chain_dept,Exim & Compliance
SEC_supply_chain_dept_export_import_compliance___principal_relation,DEPT_supply_chain_dept,Export Import Compliance & Principal Relation
SEC_supply_chain_dept_inventory,DEPT_supply_chain_dept,Inventory
SEC_supply_chain_dept_logistic_management,DEPT_supply_chain_dept,Logistic Management
SEC_supply_chain_dept_procurement,DEPT_supply_chain_dept,Procurement
SEC_supply_chain_dept_supply_chain,DEPT_supply_chain_dept,Supply Chain
SEC_supply_chain_dept_warehouse___distribution,DEPT_supply_chain_dept,Warehouse & Distribution
SEC_support_facilities_management_facility___maintenance,DEPT_support_facilities_management,Facility & Maintenance
SEC_support_facilities_management_support_facility_management,DEPT_support_facilities_management,Support Facility Management
