site_id,site_name
SITE_amm_mifa_holing,AMM Mifa Holing
SITE_amm_tabang,AMM Tabang
SITE_balikpapan,Balikpapan
SITE_cde_bengkulu,CDE Bengkulu
SITE_ck_bib,CK BIB
SITE_ck_bmb,CK BMB
SITE_ck_dmp,CK DMP
SITE_ck_kim,CK KIM
SITE_ck_mhu,CK MHU
SITE_ck_mifa,CK MIFA
SITE_ck_ncn,CK NCN
SITE_jakarta,Jakarta
SITE_kpuc_malinau,KPUC Malinau
SITE_mtn___berau,MTN - Berau
SITE_mtn___me,MTN - ME
SITE_makassar,Makassar
SITE_pka_musi_rawas,PKA Musi Rawas
SITE_ppa_ba,PPA BA
SITE_ppa_bib,PPA BIB
SITE_pt_smj___berau,PT SMJ - Berau
SITE_palembang,Palembang
SITE_pekanbaru,Pekanbaru
SITE_petrosea_freeport,Petrosea Freeport
SITE_petrosea_sda,Petrosea SDA
SITE_sis_adaro,SIS Adaro
SITE_sangatta,Sangatta
SITE_sebamban,Sebamban
SITE_tu_batu_hijau,TU Batu Hijau
SITE_tu_gresik,TU Gresik
SITE_tj__adaro,Tj. Adaro
SITE_tj__redeb___berau,Tj. Redeb - Berau
SITE_vale___sorowako,Vale - Sorowako
