work_location_id,work_location_name
WORK_balikpapan,Balikpapan
WORK_hse___ck_bib,HSE - CK BIB
WORK_hse___ck_bmb,HSE - CK BMB
WORK_hse___ck_kim,HSE - CK KIM
WORK_hse___ck_mhu,HSE - CK MHU
WORK_hse___sangatta,HSE - Sangatta
WORK_innovation___ck_kim,Innovation - CK KIM
WORK_jakarta,Jakarta
WORK_kendari,Kendari
WORK_makassar,Makassar
WORK_pa___balikpapan,PA - Balikpapan
WORK_palembang,Palembang
WORK_pekanbaru,Pekanbaru
WORK_repair___retread___amm_mifa_holing,Repair & Retread - AMM Mifa Holing
WORK_repair___retread___bsi_banyuwangi,Repair & Retread - BSI Banyuwangi
WORK_repair___retread___balikpapan,Repair & Retread - Balikpapan
WORK_repair___retread___ck_bib,Repair & Retread - CK BIB
WORK_repair___retread___ck_bmb,Repair & Retread - CK BMB
WORK_repair___retread___ck_dmp_lahat,Repair & Retread - CK DMP Lahat
WORK_repair___retread___ck_kim_jambi,Repair & Retread - CK KIM Jambi
WORK_repair___retread___ck_mhu,Repair & Retread - CK MHU
WORK_repair___retread___kpuc_malinau,Repair & Retread - KPUC Malinau
WORK_repair___retread___macmahon_martabe,Repair & Retread - Macmahon Martabe
WORK_repair___retread___madhani_berau,Repair & Retread - Madhani Berau
WORK_repair___retread___madhani_me,Repair & Retread - Madhani ME
WORK_repair___retread___ppa_bukit_asam,Repair & Retread - PPA Bukit Asam
WORK_repair___retread___sangatta,Repair & Retread - Sangatta
WORK_repair___retread___vale_sorowako,Repair & Retread - Vale Sorowako
WORK_sangatta,Sangatta
WORK_sebamban,Sebamban
WORK_service_operation___amm_mifa_holing,Service Operation - AMM Mifa Holing
WORK_service_operation___amm_tabang,Service Operation - AMM Tabang
WORK_service_operation___balikpapan,Service Operation - Balikpapan
WORK_service_operation___batu_hijau_sumbawa,Service Operation - Batu Hijau Sumbawa
WORK_service_operation___ck_bib,Service Operation - CK BIB
WORK_service_operation___ck_bmb,Service Operation - CK BMB
WORK_service_operation___ck_dmp_lahat,Service Operation - CK DMP Lahat
WORK_service_operation___ck_kim_jambi,Service Operation - CK KIM Jambi
WORK_service_operation___ck_mhu,Service Operation - CK MHU
WORK_service_operation___gresik,Service Operation - Gresik
WORK_service_operation___jakarta,Service Operation - Jakarta
WORK_service_operation___ppa_bib,Service Operation - PPA BIB
WORK_service_operation___pt_get_sebakis,Service Operation - PT GET Sebakis
WORK_service_operation___petrosea_freeport,Service Operation - Petrosea Freeport
WORK_service_operation___vale_sorowako,Service Operation - Vale Sorowako
WORK_technical___amm_mifa_holing,Technical - AMM Mifa Holing
WORK_technical___amm_tabang,Technical - AMM Tabang
WORK_technical___balikpapan,Technical - Balikpapan
WORK_technical___ck_bib,Technical - CK BIB
WORK_technical___ck_dmp_lahat,Technical - CK DMP Lahat
WORK_technical___ck_kim_jambi,Technical - CK KIM Jambi
WORK_technical___ck_mhu,Technical - CK MHU
WORK_technical___ppa_bib,Technical - PPA BIB
WORK_technical___palembang,Technical - Palembang
WORK_technical___petrosea_freeport,Technical - Petrosea Freeport
WORK_technical___sangatta,Technical - Sangatta
WORK_technical___tanjung_tabalong,Technical - Tanjung Tabalong
WORK_technical___vale_sorowako,Technical - Vale Sorowako
WORK_tj__redeb___berau,Tj. Redeb - Berau
