org_node_id,parent_org_node_id,node_type,node_name,ref_id,path
ORG_ROOT,,company,HERO,,HERO
ORG_DEPT_bi___marketing,ORG_ROOT,department,BI & Marketing,DEPT_bi___marketing,HERO > BI & Marketing
ORG_DEPT_ci___audit,ORG_ROOT,department,CI & Audit,DEPT_ci___audit,HERO > CI & Audit
ORG_DEPT_central_services,ORG_ROOT,department,Central Services,DEPT_central_services,HERO > Central Services
ORG_DEPT_finance___accounting,ORG_ROOT,department,Finance & Accounting,DEPT_finance___accounting,HERO > Finance & Accounting
ORG_DEPT_human_capital,ORG_ROOT,department,Human Capital,DEPT_human_capital,HERO > Human Capital
ORG_DEPT_legal___erm,ORG_ROOT,department,Legal & ERM,DEPT_legal___erm,HERO > Legal & ERM
ORG_DEPT_management,ORG_ROOT,department,Management,DEPT_management,HERO > Management
ORG_DEPT_sales_operation,ORG_ROOT,department,Sales Operation,DEPT_sales_operation,HERO > Sales Operation
ORG_DEPT_supply_chain_dept,ORG_ROOT,department,Supply Chain Dept,DEPT_supply_chain_dept,HERO > Supply Chain Dept
ORG_DEPT_support_facilities_management,ORG_ROOT,department,Support Facilities Management,DEPT_support_facilities_management,HERO > Support Facilities Management
ORG_SEC_bi___marketing_business_innovation___marketing,ORG_DEPT_bi___marketing,section,Business Innovation & Marketing,SEC_bi___marketing_business_innovation___marketing,HERO > BI & Marketing > Business Innovation & Marketing
ORG_SEC_bi___marketing_business_innovation___marketing_SITE_balikpapan,ORG_SEC_bi___marketing_business_innovation___marketing,site,Balikpapan,SITE_balikpapan,HERO > BI & Marketing > Business Innovation & Marketing > Balikpapan
ORG_SEC_bi___marketing_business_innovation___marketing_SITE_balikpapan_WORK_balikpapan,ORG_SEC_bi___marketing_business_innovation___marketing_SITE_balikpapan,work_location,Balikpapan,WORK_balikpapan,HERO > BI & Marketing > Business Innovation & Marketing > Balikpapan > Balikpapan
ORG_SEC_bi___marketing_database___innovation,ORG_DEPT_bi___marketing,section,Database & Innovation,SEC_bi___marketing_database___innovation,HERO > BI & Marketing > Database & Innovation
ORG_SEC_bi___marketing_database___innovation_SITE_balikpapan,ORG_SEC_bi___marketing_database___innovation,site,Balikpapan,SITE_balikpapan,HERO > BI & Marketing > Database & Innovation > Balikpapan
ORG_SEC_bi___marketing_database___innovation_SITE_balikpapan_WORK_balikpapan,ORG_SEC_bi___marketing_database___innovation_SITE_balikpapan,work_location,Balikpapan,WORK_balikpapan,HERO > BI & Marketing > Database & Innovation > Balikpapan > Balikpapan
ORG_SEC_bi___marketing_database___innovation_SITE_vale___sorowako,ORG_SEC_bi___marketing_database___innovation,site,Vale - Sorowako,SITE_vale___sorowako,HERO > BI & Marketing > Database & Innovation > Vale - Sorowako
ORG_SEC_bi___marketing_database___innovation_SITE_vale___sorowako_WORK_innovation___ck_kim,ORG_SEC_bi___marketing_database___innovation_SITE_vale___sorowako,work_location,Innovation - CK KIM,WORK_innovation___ck_kim,HERO > BI & Marketing > Database & Innovation > Vale - Sorowako > Innovation - CK KIM
ORG_SEC_bi___marketing_finance_business_partner,ORG_DEPT_bi___marketing,section,Finance Business Partner,SEC_bi___marketing_finance_business_partner,HERO > BI & Marketing > Finance Business Partner
ORG_SEC_bi___marketing_finance_business_partner_SITE_jakarta,ORG_SEC_bi___marketing_finance_business_partner,site,Jakarta,SITE_jakarta,HERO > BI & Marketing > Finance Business Partner > Jakarta
ORG_SEC_bi___marketing_finance_business_partner_SITE_jakarta_WORK_jakarta,ORG_SEC_bi___marketing_finance_business_partner_SITE_jakarta,work_location,Jakarta,WORK_jakarta,HERO > BI & Marketing > Finance Business Partner > Jakarta > Jakarta
ORG_SEC_bi___marketing_information_technology,ORG_DEPT_bi___marketing,section,Information Technology,SEC_bi___marketing_information_technology,HERO > BI & Marketing > Information Technology
ORG_SEC_bi___marketing_information_technology_SITE_balikpapan,ORG_SEC_bi___marketing_information_technology,site,Balikpapan,SITE_balikpapan,HERO > BI & Marketing > Information Technology > Balikpapan
ORG_SEC_bi___marketing_information_technology_SITE_balikpapan_WORK_balikpapan,ORG_SEC_bi___marketing_information_technology_SITE_balikpapan,work_location,Balikpapan,WORK_balikpapan,HERO > BI & Marketing > Information Technology > Balikpapan > Balikpapan
